Name,Technique,Rule Type,Severity,Source
Accessing Outlook Data Files,"T1114, T1114.001",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/collection_outlook_email_archive.toml)
AWS CloudTrail Log Updated,"T1530, T1565, T1565.001",Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_cloudtrail_logging_updated.toml)
AWS DynamoDB Scan by Unusual User,"T1530, T1567",New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/exfiltration_dynamodb_scan_by_unusual_user.toml)
AWS EC2 Export Task,"T1005, T1119, T1530, T1537",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/exfiltration_ec2_export_task.toml)
AWS RDS Snapshot Export,"T1213, T1213.006",Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/exfiltration_rds_snapshot_export.toml)
AWS S3 Bucket Enumeration or Brute Force,"T1530, T1619, T1657",Threshold,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_aws_s3_bucket_enumeration_or_brute_force.toml)
AWS S3 Bucket Policy Added to Share with External Account,"T1530, T1537",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/exfiltration_s3_bucket_policy_added_for_external_account_access.toml)
AWS S3 Unauthenticated Bucket Access by Rare Source,"T1485, T1530, T1619",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/collection_s3_unauthenticated_bucket_access_by_rare_source.toml)
AWS SNS Rare Protocol Subscription by User,"T1496, T1496.004, T1530, T1567",New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/exfiltration_sns_rare_protocol_subscription_by_user.toml)
Azure Storage Account Blob Public Access Enabled,T1530,New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/collection_azure_storage_account_blob_public_access_enabled.toml)
Compression DLL Loaded by Unusual Process,T1560,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/collection_archive_data_zip_imageload.toml)
Discovery Command Output Written to Suspicious File,"T1074, T1074.001, T1082",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/macos/collection_discovery_output_written_to_suspicious_file.toml)
Encrypting Files with WinRar or 7z,"T1005, T1560, T1560.001",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/collection_winrar_encryption.toml)
Entra ID Sharepoint or OneDrive Accessed by Unusual Client,"T1213, T1213.002, T1566",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/collection_entra_id_sharepoint_access_from_unusual_application.toml)
Exchange Mailbox Export via PowerShell,"T1005, T1114, T1114.001, T1114.002",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/collection_mailbox_export_winlog.toml)
Exporting Exchange Mailbox via PowerShell,"T1005, T1059, T1059.001, T1114, T1114.002",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/collection_email_powershell_exchange_mailbox.toml)
File Compressed or Archived into Common Format by Unsigned Process,"T1027, T1074, T1074.001, T1132, T1132.001, T1560, T1560.001",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/collection_common_compressed_archived_file.toml)
File Staged in Root Folder of Recycle Bin,"T1074, T1074.001",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/collection_files_staged_in_recycle_bin_root.toml)
FortiGate Configuration File Downloaded,"T1602, T1602.002",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/network/collection_fortigate_config_download.toml)
